Sentence,Entity
"Bundesinnenministerin Nancy Faeser (SPD), die sich mit öffentlichen Ansagen zum Tarifstreit bisher eher zurückgehalten hatte, bezog in diesem Sinne Position. „",Nancy Faeser
"Bundesinnenministerin Nancy Faeser (SPD), die sich mit öffentlichen Ansagen zum Tarifstreit bisher eher zurückgehalten hatte, bezog in diesem Sinne Position. „",SPD
Die Regierung in Tunis wies diese Äußerungen empört als „unverhältnismäßig“ zurück und rühmt lieber die „Widerstandsfähigkeit des tunesischen Volkes“.,Regierung
"Doch die Regierung ist bei der Erfüllung ihrer Verpflichtungen in Verzug geraten, besonders bei der Verringerung der Treibstoffsubventionen und dem versprochenen Gesetz über Unternehmen mit staatlicher Beteiligung.",Regierung
Justizreform                                : Chaos in Israel – und in Netanjahus Regierung                         Die umstrittene Justizreform spaltet nicht nur die israelische Gesellschaft.,Regierung
Auch die Regierung Netanjahu ringt um ihren Kurs.,Regierung
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gpf-b0fks Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Olaf Scholz und Mark Rutte am Montagabend in Rotterdam 				Bild: Reuters 			Scholz bestätigt Lieferung +++ Selenskyj und Grossi besuchen Gebiet Saporischschja +++ ISW: Putin will weiterhin „vollständigen Sieg“ +++ alle Entwicklungen im Liveblog		 Permalink: https://www.faz.net/-gpf-b0fks Erhalten Sie täglich den F.A.Z.-Newsletter zum Krieg in der Ukraine (hier kostenlos anmelden).",Olaf Scholz
Bild: Frank Röth 			Mike Josef (SPD) ist der erste Oberbürgermeister von Frankfurt mit einer Einwanderungsgeschichte.,SPD
Mike Josef im Interview: „Die Stadt ist keine One-Man-Show“ Mike Josef im Interview „Die Stadt ist keine One-Man-Show“ Mike Josef (SPD) ist der erste Oberbürgermeister von Frankfurt mit einer Einwanderungsgeschichte.,SPD
"Permalink: https://www.faz.net/-gq5-b6iz8 In Israel herrschte am Montag Chaos – im Land, aber auch in der von Benjamin Netanjahu geführten Regierung.",Regierung
Nach drei Monaten im Amt und unter dem Druck massiven Widerstands gegen die umstrittene Justizreform zeigten sich in der religiös-rechtsnationalistischen Koalition Konflikte über das richtige Vorgehen.,Koalition
"Einige Koalitionsmitglieder wollten an dem bisherigen Plan für die Reform festhalten, die den Einfluss des Obersten Gerichts beschneiden und die Exekutive stärken würde.",Koalition
"Die rechte Koalition dürfe nicht ihren eigenen Sturz herbeiführen, warnte Barkat, ein Likud-Schwergewicht. „",Koalition
"Am Samstagabend hatte in Person von Verteidigungsminister Joav Gallant erstmals ein Regierungsmitglied öffentlich gegen das Tempo Stellung bezogen, mit dem die Regierung die Reform durchzupeitschen versucht, ungeachtet der zunehmenden Proteste.",Regierung
Im Parlament treibt die Koalition das Projekt jedoch weiter voran.,Koalition
Justizreform: Chaos in Israel – und in Netanjahus Regierung Justizreform Chaos in Israel – und in Netanjahus Regierung Die umstrittene Justizreform spaltet nicht nur die israelische Gesellschaft.,Regierung
"Um hier schnell wieder den Anschluss an die Konkurrenz zu finden, dürfte der öffentliche Beistand von Bundeskanzler Olaf Scholz nicht ausreichen.",Olaf Scholz
Bundeskanzler Olaf Scholz sprach ihr demonstrativ das Vertrauen aus.,Olaf Scholz
