Sentence,Entity,predicted_label
Josep Borrell (Mitte) beim iberoamerikanischen Gipfel in der Dominikanischen Republik Orlando Barria / EPA 09.17 Uhr: Die Europäische Union möchte eine wirtschaftliche Abhängigkeit von China wie zuvor von Russland vermeiden und den Handel mit Lateinamerika ausbauen. »,Union,2
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",Peter Tschentscher,2
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",SPD,2
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",Grüne,2
Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Vor gut zwei Wochen hatte der 35 Jahre alte Philipp F. bei einer Gemeindeversammlung der Zeugen Jehovas in Hamburg sieben Menschen getötet – darunter ein ungeborenes Kind.,Peter Tschentscher,1
Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Vor gut zwei Wochen hatte der 35 Jahre alte Philipp F. bei einer Gemeindeversammlung der Zeugen Jehovas in Hamburg sieben Menschen getötet – darunter ein ungeborenes Kind.,SPD,1
Bundespräsident Frank-Walter Steinmeier erklärte in einer von Bürgermeister Tschentscher verlesenen Grußbotschaft: »Wir gedenken heute der Opfer eines schweren Verbrechens.«,Frank-Walter Steinmeier,2
"Trauergäste in der Alsterdorfer Sporthalle bei bei einer Gedenkveranstaltung der Zeugen Jehovas am Samstagabend Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Musiker spielen in der Alsterdorfer Sporthalle bei einer Gedenkveranstaltung der Zeugen Jehovas für die Opfer eine Amoklaufs Melden Sie sich an und diskutieren Sie mit  Verwüstete Häuser in Rolling Fork im US-Bundesstaat Mississippi Der Gouverneur von Mississippi, Tate Reeves, hat den Notstand für den US-Bundesstaat ausgerufen,  nachdem ein Tornado über Mississippi sowie über Alabama hinweggefegt war, wie auch der US-Sender CNBC berichtet.",Peter Tschentscher,1
"Trauergäste in der Alsterdorfer Sporthalle bei bei einer Gedenkveranstaltung der Zeugen Jehovas am Samstagabend Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Musiker spielen in der Alsterdorfer Sporthalle bei einer Gedenkveranstaltung der Zeugen Jehovas für die Opfer eine Amoklaufs Melden Sie sich an und diskutieren Sie mit  Verwüstete Häuser in Rolling Fork im US-Bundesstaat Mississippi Der Gouverneur von Mississippi, Tate Reeves, hat den Notstand für den US-Bundesstaat ausgerufen,  nachdem ein Tornado über Mississippi sowie über Alabama hinweggefegt war, wie auch der US-Sender CNBC berichtet.",SPD,1
"Zuletzt hatte eine SPIEGEL-Umfage gezeigt, dass eine klare Mehrheit der Deutschen (68 Prozent) das geplante Verbrenneraus in der Europäischen Union ablehnt.",Union,2
"Hessens Verkehrsminister Al-Wazir (Grüne) erklärte, zum allgemeinen Verkaufsstart rechne er mit großem Andrang in den Verkaufsstellen der hessischen Verkehrsverbünde, obwohl es das Ticket auch digital gebe.",Grüne,2
Die Linke fordert »eine diskriminierungsfreie Regelung« für alle Menschen. »,Die Linke,2
