Olaf Scholz
Saskia Esken
Lars Klingbeil
Franziska Giffey
Dietmar Woidke
Andreas Bovenschulte
Peter Tschentscher
Manuela Schwesig
Stephan Weil
Malu Dreyer
Anke Rehlinger
Nancy Faeser
Hubertus Heil
Christine Lambrecht
Karl Lauterbach
Svenja Schulze
Klara Geywitz
Wolfgang Schmidt
Kevin Kühnert
Bärbel Bas
Aydan Özoğuz
Frank-Walter Steinmeier
Rolf Mützenich
Ricarda Lang
Omid Nouripour
Winfried Kretschmann
Annalena Bärbock
Robert Habeck
Cem Özdemir
Lisa Paus
Steffi Lemke
Emily May Büning
Katrin Göring-Eckardt
Katharina Dröge
Britta Haßelmann
Christian Lindner
Marco Buschmann
Volker Wissing
Bettina Stark-Watzinger
Bijan Djir-Sarai
Wolfgang Kubicki
Christian Dürr
Friedrich Merz
Markus Söder
Hendirk Wüst
Michael Kretschmer
Rainer Haseloff
Daniel Günther
Yvonne Magwas
Martin Huber
Mario Czaja
Janine Wissler
Martin Schirdewan
Bodo Ramelow
Petra Pau
Dietmar Bartsch
Amira Mohamed Ali
Tino Chrupalla
Alice Weidel
