Sentence,Entity
Josep Borrell (Mitte) beim iberoamerikanischen Gipfel in der Dominikanischen Republik Orlando Barria / EPA 09.17 Uhr: Die Europäische Union möchte eine wirtschaftliche Abhängigkeit von China wie zuvor von Russland vermeiden und den Handel mit Lateinamerika ausbauen. »,Union
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",Peter Tschentscher
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",SPD
"Außerdem nahmen Vertreter aus Politik und Behörden teil, darunter Bürgermeister Peter Tschentscher (SPD), die Zweite Bürgermeisterin Katharina Fegebank (Grüne), Bürgerschaftspräsidentin Carola Veit und die Führungsspitze der Hamburger Polizei.",Grüne
Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Vor gut zwei Wochen hatte der 35 Jahre alte Philipp F. bei einer Gemeindeversammlung der Zeugen Jehovas in Hamburg sieben Menschen getötet – darunter ein ungeborenes Kind.,Peter Tschentscher
Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Vor gut zwei Wochen hatte der 35 Jahre alte Philipp F. bei einer Gemeindeversammlung der Zeugen Jehovas in Hamburg sieben Menschen getötet – darunter ein ungeborenes Kind.,SPD
Bundespräsident Frank-Walter Steinmeier erklärte in einer von Bürgermeister Tschentscher verlesenen Grußbotschaft: »Wir gedenken heute der Opfer eines schweren Verbrechens.«,Frank-Walter Steinmeier
"Trauergäste in der Alsterdorfer Sporthalle bei bei einer Gedenkveranstaltung der Zeugen Jehovas am Samstagabend Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Musiker spielen in der Alsterdorfer Sporthalle bei einer Gedenkveranstaltung der Zeugen Jehovas für die Opfer eine Amoklaufs Melden Sie sich an und diskutieren Sie mit  Verwüstete Häuser in Rolling Fork im US-Bundesstaat Mississippi Der Gouverneur von Mississippi, Tate Reeves, hat den Notstand für den US-Bundesstaat ausgerufen,  nachdem ein Tornado über Mississippi sowie über Alabama hinweggefegt war, wie auch der US-Sender CNBC berichtet.",Peter Tschentscher
"Trauergäste in der Alsterdorfer Sporthalle bei bei einer Gedenkveranstaltung der Zeugen Jehovas am Samstagabend Hamburgs Bürgermeister Peter Tschentscher (SPD) redet in der Alsterdorfer Sporthalle bei der Gedenkveranstaltung am Samstagabend Musiker spielen in der Alsterdorfer Sporthalle bei einer Gedenkveranstaltung der Zeugen Jehovas für die Opfer eine Amoklaufs Melden Sie sich an und diskutieren Sie mit  Verwüstete Häuser in Rolling Fork im US-Bundesstaat Mississippi Der Gouverneur von Mississippi, Tate Reeves, hat den Notstand für den US-Bundesstaat ausgerufen,  nachdem ein Tornado über Mississippi sowie über Alabama hinweggefegt war, wie auch der US-Sender CNBC berichtet.",SPD
"Zuletzt hatte eine SPIEGEL-Umfage gezeigt, dass eine klare Mehrheit der Deutschen (68 Prozent) das geplante Verbrenneraus in der Europäischen Union ablehnt.",Union
"Hessens Verkehrsminister Al-Wazir (Grüne) erklärte, zum allgemeinen Verkaufsstart rechne er mit großem Andrang in den Verkaufsstellen der hessischen Verkehrsverbünde, obwohl es das Ticket auch digital gebe.",Grüne
Die Linke fordert »eine diskriminierungsfreie Regelung« für alle Menschen. »,Die Linke
"Vor Kurzem sorgte Bundesbildungsministerin Bettina Stark-Watzinger (FDP) für Unmut in China, weil sie nach Taiwan reiste.",Bettina Stark-Watzinger
"Vor Kurzem sorgte Bundesbildungsministerin Bettina Stark-Watzinger (FDP) für Unmut in China, weil sie nach Taiwan reiste.",FDP
Der Außenminister von Honduras Eduardo Enrique Reina García mit dem chinesischen Amtskollegen Qin Gang Melden Sie sich an und diskutieren Sie mit  Ricarda Lang und Florian Wilsch im Februar auf der Berlinale Der Tweet besteht nur aus sieben Buchstaben und einem Herz-Emoji – und damit ist auch alles gesagt.,Ricarda Lang
Ricarda Lang ist verlobt.,Ricarda Lang
Die Grünenchefin setzte die Botschaft per Twitter ab und stellte ein Foto von sich und ihrem Verlobten Florian Wilsch dazu.,Grüne
Die Grünenchefin setzte die Botschaft per Twitter ab und stellte ein Foto von sich und ihrem Verlobten Florian Wilsch dazu.,Die Grünen
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",SPD
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Hubertus Heil
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Lars Klingbeil
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Mario Czaja
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Katrin Göring-Eckardt
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",CDU
Er war vor zehn Jahren Vorstandssprecher der Grünen Jugend Bayern.,Grüne
Ricarda Lang wurde am 17. Januar 1994 in Filderstadt bei Stuttgart geboren.,Ricarda Lang
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Grüne
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Bündnis 90/Die Grünen
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Die Grünen
Ricarda Lang und Florian Wilsch im Februar auf der Berlinale Melden Sie sich an und diskutieren Sie mit  Die Vorsitzende des Verteidigungsausschusses fordert eine schnellere Beschaffung: Marie-Agnes Strack-Zimmermann Schleppender Start für die 100 Milliarden Euro: Noch wurden die Handlungsmöglichkeiten durch den im Ukrainekrieg im Bundestag beschlossenen Sondertopf nicht ausgeschöpft.,Ricarda Lang
"Nun fordert die Vorsitzende des Verteidigungsausschusses, Marie-Agnes Strack-Zimmermann (FDP), eine schnellere Beschaffung von Ausrüstung und Waffen für die Bundeswehr. »",FDP
"Sie glaube, dass Boris Pistorius (SPD) der richtige Verteidigungsminister für diese Aufgabe sei.",SPD
"Wolfgang Kumm / dpa Die Vorsitzende der Linken, Janine Wissler, möchte Schulkinder und deren Eltern von regelmäßigen Hausaufgaben entlasten. »",Janine Wissler
"Bei den teils chaotischen Protesten gegen den Auftritt am Samstag wurde die Co-Vorsitzende der Grünen Partei Neuseelands, Marama Davidson, von einem Motorrad angefahren.",Grüne
"Konkret plante die Europäische Union dies ab 2018, die EU-Kommission legte einen entsprechenden Gesetzentwurf vor.",Union
Bett hüten und Nase putzen: Derzeit plagen sich in Deutschland viele Menschen mit Atemwegserkrankungen herum (Symbolbild) Melden Sie sich an und diskutieren Sie mit  Bundeskanzler Olaf Scholz (l.) mit Frankreichs Präsident Emmanuel Macron (Archivbild) Die Bundesregierung hat sich im Streit über ein Aus für neue Autos mit Verbrennungsmotor mit der EU-Kommission geeinigt.,Olaf Scholz
Das teilten Verkehrsminister Volker Wissing und EU-Kommissionsvize Frans Timmermans auf Twitter mit.,Volker Wissing
Nach SPIEGEL-Informationen hatte sich zunächst Kanzler Olaf Scholz mit Frankreichs Regierungschef Emmanuel Macron geeinigt.,Olaf Scholz
"Der Weg ist frei: Europa bleibt technologieneutral«, twitterte Bundesverkehrsminister Volker Wissing.",Volker Wissing
