Sentence,Entity
"Also da will man gespannt, was da bei rumkommt, warum Handel, warum geben nehmen, ne, ja, weil dieses neuen Euro-Ticket ein Zugeständnis ist, vor allem an die Grünen, seitens vor allen Dingen der FDP, die auf der anderen Seite gerne einen Rabatt für Diesel und Benzin hätte und nun auch bekommen hat, weil natürlich auch, wie viele Wissen, Öl und damit dann auch die Produkte Benzin und Diesel erst mal zumindest deutlich teurer geworden sind und die Leute zumindest die, die viel Autofahren da auch viel mehr bezahlen mussten, deswegen jetzt ein Rabatt.",FDP
"Also da will man gespannt, was da bei rumkommt, warum Handel, warum geben nehmen, ne, ja, weil dieses neuen Euro-Ticket ein Zugeständnis ist, vor allem an die Grünen, seitens vor allen Dingen der FDP, die auf der anderen Seite gerne einen Rabatt für Diesel und Benzin hätte und nun auch bekommen hat, weil natürlich auch, wie viele Wissen, Öl und damit dann auch die Produkte Benzin und Diesel erst mal zumindest deutlich teurer geworden sind und die Leute zumindest die, die viel Autofahren da auch viel mehr bezahlen mussten, deswegen jetzt ein Rabatt.",Grüne
"Ja, die Energiesteuer auf Kraftstoffe wird auf das in der europäischen Union erlaubte Mindestmaß reduziert, ab dem 1. Juno und für die Monate Juni, Juli und August wird die Energiesteuer reduziert.",Union
"Das gilt jetzt erst mal für 3 Monate, was dann nachkommen ist, offen, vielleicht bleibt das auch, vielleicht wird die FDP dann sagen, dass sei eine Steuererhöhung.",FDP
FDP macht Benzin teurer.,FDP
"Da fragt man sich, warum hat die FDP eigentlich das durchgebockst?",FDP
"Und dann kommt die FDP und sagt, ja, in diesem Fall, dann passt das nicht.",FDP
"Es ist natürlich jetzt auch nicht komplett an Hördorf, dass die FDP-Klientee-Politik macht.",FDP
Dank ihrer sehr guten Kontakte zu damaligen FDP-Spitze.,FDP
Das Ausgleichen der FDP jetzt in den Markt gräht und in der Tat kann sie insbesondere auch bei Expertinnen und Experten aus den Wirtschaftswissenschaften damit wahrlich kein Blumentopf gewinnen.,FDP
"Frag mal jemand rauspulen, was die Mineral-Unflex oder FDP gespendet haben.",FDP
"Die FDP hat gerade zwei schwere Wahlen, die dann lagen hinter sich bei zwei Landtagswahlen.",FDP
